user_input,reference,extracted_response,RougeScore,BleuScore,ExactMatch
What are the nutritional values for brown sugar?,"brown sugar contains: Calories: 16 kcal, Protein: 0.024g, Carbohydrates: 4.1g","brown sugar contains: Calories: 16 kcal, Protein: 0.024g, Carbohydrates: 4.1g",0.6268162980073793,0.6395212696805226,0.8734801499083202
How much fat does english muffin toasted contain?,"english muffin toasted contains: Calories: 140 kcal, Protein: 5.4g, Fat: 1.1g, Carbohydrates: 27.4g, Fiber: 1.5g, Calcium: 102.4mg","english muffin toasted has: Calories: 140 kcal, Protein: 5.4g, Fat: 1.1g, Carbohydrates: 27.4g, Fiber: 1.5g, Calcium: 102.4mg",0.8181621424009334,0.6093830147021693,0.548749642293086
How many calories are in sports drink?,"sports drink contains: Calories: 26 kcal, Carbohydrates: 7.2g, Vitamin C: 15.1mg","sports drink contains: Calories: 26 kcal, Carbohydrates: 7.2g, Vitamin C: 15.1mg This is a good source of nutrition.",0.7706488983130183,0.651877674149753,0.8920642149285449
What's the carb content in little india little lunch?,"little india little lunch contains: Calories: 164 kcal, Fat: 10.6g, Carbohydrates: 2.0g","little india little lunch contains: Calories: 164  calories, Fat: 10.6 grams, Carbohydrates: 2.0 grams",0.827350984052225,0.8818435453565845,0.8218463335826282
How many calories are in whole wheat spaghetti dry?,"whole wheat spaghetti dry contains: Calories: 98 kcal, Protein: 4.1g, Fat: 0.4g, Carbohydrates: 21.2g, Calcium: 11.3mg, Iron: 1.0mg","whole wheat spaghetti dry contains: Calories: 98 kcal, Protein: 4.",0.6161810607971743,0.615052136645656,0.7856565149993582
What are the nutritional values for pork splean cooked?,"pork splean cooked contains: Calories: 446 kcal, Protein: 84.3g, Fat: 9.6g, Vitamin C: 34.7mg, Calcium: 38.9mg, Iron: 66.5mg","pork splean cooked contains: Calories: 446 kcal, Protein: 84.3g, Fat: 9.6g, Vitamin C: 34.7mg, Calcium: 38.9mg, Iron: 66.5mg",0.6385454056382466,0.6769504447459341,0.6025775901893928
What is the protein content of coleslaw dressing?,"coleslaw dressing contains: Calories: 62 kcal, Protein: 0.1g, Fat: 5.3g, Carbohydrates: 3.8g, Fiber: 0.024g","coleslaw dressing has: Calories: 62 kcal, Protein: 0.1g, Fat: 5.3g, Carbohydrates: 3.8g, Fiber: 0.024g",0.6916317052065932,0.5808272028802386,0.7154311694834611
How many calories are in celeriac raw?,"celeriac raw contains: Calories: 66 kcal, Protein: 2.3g, Fat: 0.5g, Carbohydrates: 14.4g, Fiber: 2.8g","celeriac raw contains: Calories: 66 kcal, Protein: 2.3g, Fat: 0.5g, Carbohydrates: 14.4g, Fiber: 2.8g This is a good source of nutrition.",0.8732095735133232,0.7784685202587291,0.5549091819203692
How many calories are in scots kale cooked?,"scots kale cooked contains: Calories: 36 kcal, Protein: 2.5g, Fat: 0.5g, Carbohydrates: 7.3g, Vitamin C: 68.6mg, Calcium: 171.6mg","scots kale cooked contains: Calories: 36  calories, Protein: 2.5 grams, Fat: 0.5 grams, Carbohydrates: 7.3 grams, Vitamin C: 68.6m grams, Calcium: 171.6m grams",0.746270813765797,0.734732199428326,0.5969832153641147
Give me the nutritional breakdown of soft pretzels,"soft pretzels contains: Calories: 389 kcal, Protein: 9.4g, Fat: 3.6g, Carbohydrates: 79.8g, Fiber: 2.0g, Calcium: 26.5mg","soft pretzels contains: Calories: 389 kcal, Protein: 9.",0.7679335859572416,0.7124165958931197,0.755177829363455
What are the calories and macros for pork centre loin chops raw?,"pork centre loin chops raw contains: Calories: 338 kcal, Protein: 41.2g, Fat: 18.0g, Calcium: 37.8mg, Iron: 1.3mg","pork centre loin chops raw contains: Calories: 338 kcal, Protein: 41.2g, Fat: 18.0g, Calcium: 37.8mg, Iron: 1.3mg",0.5209964427357852,0.6653205464193035,0.7869432225000974
What are the calories and macros for baked beans?,"baked beans contains: Calories: 310 kcal, Protein: 11.1g, Fat: 10.3g, Carbohydrates: 43.3g, Fiber: 11.0g","baked beans has: Calories: 310 kcal, Protein: 11.1g, Fat: 10.3g, Carbohydrates: 43.3g, Fiber: 11.0g",0.5402179619109392,0.8083064232393117,0.502072578562852
How much fat does apricot contain?,"apricot contains: Calories: 17 kcal, Protein: 0.5g, Fat: 0.1g, Carbohydrates: 3.9g, Fiber: 0.7g","apricot contains: Calories: 17 kcal, Protein: 0.5g, Fat: 0.1g, Carbohydrates: 3.9g, Fiber: 0.7g This is a good source of nutrition.",0.7201410263118466,0.8716398720679912,0.6627629806187534
How many calories are in dark chocolate?,"dark chocolate contains: Calories: 165 kcal, Protein: 1.5g, Fat: 9.7g, Carbohydrates: 18.0g, Fiber: 2.2g","dark chocolate contains: Calories: 165  calories, Protein: 1.5 grams, Fat: 9.7 grams, Carbohydrates: 18.0 grams, Fiber: 2.2 grams",0.8740128394384606,0.8513598486056912,0.6909794081763586
Tell me about the macros in okra,"okra contains: Calories: 4 kcal, Protein: 0.2g, Fat: 0.082g, Carbohydrates: 0.9g, Fiber: 0.4g, Vitamin C: 2.7mg","okra contains: Calories: 4 kcal, Protein: 0.",0.5797823898670407,0.8855656155563743,0.6284670808476667
Give me the nutritional breakdown of bacon baked,"bacon baked contains: Calories: 44 kcal, Protein: 2.9g, Fat: 3.5g, Carbohydrates: 0.1g","bacon baked contains: Calories: 44 kcal, Protein: 2.9g, Fat: 3.5g, Carbohydrates: 0.1g",0.758359167156108,0.8631747834942489,0.5357842882046066
Tell me about the macros in cranberry apricot juice,"cranberry apricot juice contains: Calories: 157 kcal, Protein: 0.5g, Carbohydrates: 39.7g, Fiber: 0.2g, Calcium: 22.1mg","cranberry apricot juice has: Calories: 157 kcal, Protein: 0.5g, Carbohydrates: 39.7g, Fiber: 0.2g, Calcium: 22.1mg",0.7296533412701494,0.7140609107574418,0.7892470712969694
Can you analyze limeade nutritionally?,"limeade contains: Calories: 128 kcal, Carbohydrates: 34.1g, Vitamin C: 7.7mg","limeade contains: Calories: 128 kcal, Carbohydrates: 34.1g, Vitamin C: 7.7mg This is a good source of nutrition.",0.8746677519002504,0.865291890267941,0.5700259101923852
How many calories are in potato chips fat free?,"potato chips fat free contains: Calories: 860 kcal, Protein: 21.9g, Fat: 1.4g, Carbohydrates: 190.1g, Fiber: 17.0g, Vitamin C: 21.1mg","potato chips fat free contains: Calories: 860  calories, Protein: 21.9 grams, Fat: 1.4 grams, Carbohydrates: 190.1 grams, Fiber: 17.0 grams, Vitamin C: 21.1m grams",0.8528979892659333,0.570315483015545,0.8678539247403736
How much fat does glucerna abbott contain?,"glucerna abbott contains: Calories: 1010 kcal, Fat: 35.6g, Carbohydrates: 120.9g, Fiber: 12.8g","glucerna abbott contains: Calories: 1010 kcal, Fat: 35.",0.8988687212354041,0.6587978297113198,0.6981535589287031
What are the calories and macros for turkey breast raw?,"turkey breast raw contains: Calories: 3554 kcal, Protein: 495.6g, Fat: 158.9g, Calcium: 294.3mg, Iron: 27.2mg","turkey breast raw contains: Calories: 3554 kcal, Protein: 495.6g, Fat: 158.9g, Calcium: 294.3mg, Iron: 27.2mg",0.8746434979111051,0.884852552033337,0.8704158791585772
How many calories are in navy beans canned?,"navy beans canned contains: Calories: 296 kcal, Protein: 19.7g, Fat: 1.1g, Carbohydrates: 53.6g, Fiber: 13.4g, Vitamin C: 1.8mg","navy beans canned has: Calories: 296 kcal, Protein: 19.7g, Fat: 1.1g, Carbohydrates: 53.6g, Fiber: 13.4g, Vitamin C: 1.8mg",0.8506972671671693,0.50370686739204,0.7271847474657982
What is the protein content of woca seeds dried?,"woca seeds dried contains: Calories: 102 kcal, Protein: 2.2g, Fat: 0.3g, Carbohydrates: 22.6g, Fiber: 5.4g","woca seeds dried contains: Calories: 102 kcal, Protein: 2.2g, Fat: 0.3g, Carbohydrates: 22.6g, Fiber: 5.4g This is a good source of nutrition.",0.5429202763094152,0.8931975553484026,0.6138246609400185
What is the protein content of cornnuts?,"cornnuts contains: Calories: 126 kcal, Protein: 2.4g, Fat: 4.4g, Carbohydrates: 20.3g, Fiber: 2.0g","cornnuts contains: Calories: 126  calories, Protein: 2.4 grams, Fat: 4.4 grams, Carbohydrates: 20.3 grams, Fiber: 2.0 grams",0.8956397880354894,0.71732019342279,0.6975649681367276
What are the nutritional values for cayenne pepper?,"cayenne pepper contains: Calories: 1 kcal, Protein: 0.039g, Fat: 0.094g, Carbohydrates: 0.2g, Fiber: 0.052g","cayenne pepper contains: Calories: 1 kcal, Protein: 0.",0.875424200696349,0.8404238954311987,0.687208307602516
What are the calories and macros for ricotta cheese?,"ricotta cheese contains: Calories: 30 kcal, Protein: 1.5g, Fat: 2.0g, Carbohydrates: 1.5g","ricotta cheese contains: Calories: 30 kcal, Protein: 1.5g, Fat: 2.0g, Carbohydrates: 1.5g",0.5771245593095239,0.5450587044080618,0.5649977050158954
What are the calories and macros for cranberry sauce sweetened?,"cranberry sauce sweetened contains: Calories: 418 kcal, Protein: 0.6g, Fat: 0.4g, Carbohydrates: 107.8g, Fiber: 2.8g, Vitamin C: 5.5mg","cranberry sauce sweetened has: Calories: 418 kcal, Protein: 0.6g, Fat: 0.4g, Carbohydrates: 107.8g, Fiber: 2.8g, Vitamin C: 5.5mg",0.6835657884129445,0.6029059520918076,0.5744796276512271
Can you analyze drumstick pods raw nutritionally?,"drumstick pods raw contains: Calories: 37 kcal, Protein: 2.1g, Fat: 0.2g, Carbohydrates: 8.5g, Fiber: 3.2g, Vitamin C: 141.0mg","drumstick pods raw contains: Calories: 37 kcal, Protein: 2.1g, Fat: 0.2g, Carbohydrates: 8.5g, Fiber: 3.2g, Vitamin C: 141.0mg This is a good source of nutrition.",0.7946471581969028,0.8163070657701024,0.7271124889683758
What are the calories and macros for english muffin with egg cheese sausage?,"english muffin with egg cheese sausage contains: Calories: 472 kcal, Protein: 22.1g, Fat: 29.9g, Carbohydrates: 28.8g, Fiber: 0.3g, Calcium: 277.2mg","en gramslish muffin with e grams grams cheese sausa gramse contains: Calories: 472  calories, Protein: 22.1 grams, Fat: 29.9 grams, Carbohydrates: 28.8 grams, Fiber: 0.3 grams, Calcium: 277.2m grams",0.8029131001030245,0.5701979655353859,0.8424586017093831
How much fat does spiny lobster cooked contain?,"spiny lobster cooked contains: Calories: 233 kcal, Protein: 43.0g, Fat: 3.2g, Carbohydrates: 5.1g, Vitamin C: 3.4mg, Calcium: 102.7mg","spiny lobster cooked contains: Calories: 233 kcal, Protein: 43.",0.8588171047135901,0.8307959301105239,0.7061122635839183
What's the carb content in salt mackerel?,"salt mackerel contains: Calories: 415 kcal, Protein: 25.2g, Fat: 34.1g, Calcium: 89.8mg, Iron: 1.9mg","salt mackerel contains: Calories: 415 kcal, Protein: 25.2g, Fat: 34.1g, Calcium: 89.8mg, Iron: 1.9mg",0.5346951079393424,0.7677023413639816,0.5739124804189359
What is the protein content of veal sirloin raw?,"veal sirloin raw contains: Calories: 689 kcal, Protein: 86.5g, Fat: 35.4g, Calcium: 49.9mg, Iron: 3.5mg","veal sirloin raw has: Calories: 689 kcal, Protein: 86.5g, Fat: 35.4g, Calcium: 49.9mg, Iron: 3.5mg",0.5562447502537193,0.6294406680340331,0.599218833466858
What are the calories and macros for egg bagel?,"egg bagel contains: Calories: 72 kcal, Protein: 2.8g, Fat: 0.5g, Carbohydrates: 13.8g, Fiber: 0.6g, Iron: 1.0mg","egg bagel contains: Calories: 72 kcal, Protein: 2.8g, Fat: 0.5g, Carbohydrates: 13.8g, Fiber: 0.6g, Iron: 1.0mg This is a good source of nutrition.",0.6043141108261776,0.5942085011206135,0.8015026607125828
What is the protein content of wheat bran?,"wheat bran contains: Calories: 125 kcal, Protein: 9.0g, Fat: 2.5g, Carbohydrates: 37.4g, Fiber: 24.8g, Calcium: 42.3mg","wheat bran contains: Calories: 125  calories, Protein: 9.0 grams, Fat: 2.5 grams, Carbohydrates: 37.4 grams, Fiber: 24.8 grams, Calcium: 42.3m grams",0.8816139290619651,0.6207783358766459,0.7891530113603991
How many calories are in honey mustard dressing fat free?,"honey mustard dressing fat free contains: Calories: 25 kcal, Protein: 0.2g, Fat: 0.2g, Carbohydrates: 5.8g, Fiber: 0.2g","honey mustard dressing fat free contains: Calories: 25 kcal, Protein: 0.",0.5045742936776672,0.7614733468280794,0.7771074361690955
Can you analyze salt nutritionally?,Nutritional information for salt is limited in our database.,Nutritional information for salt is limited in our database.,0.5248497327202144,0.5472899391215891,0.622722536801448
What are the nutritional values for beef breakfast strips cooked?,"beef breakfast strips cooked contains: Calories: 51 kcal, Protein: 3.5g, Fat: 3.9g, Carbohydrates: 0.2g","beef breakfast strips cooked has: Calories: 51 kcal, Protein: 3.5g, Fat: 3.9g, Carbohydrates: 0.2g",0.6621666451873589,0.7010081884953558,0.8580473479265016
How many calories are in java plum?,"java plum contains: Calories: 2 kcal, Protein: 0.034g, Fat: 0.029g, Carbohydrates: 0.5g","java plum contains: Calories: 2 kcal, Protein: 0.034g, Fat: 0.029g, Carbohydrates: 0.5g This is a good source of nutrition.",0.7814228140409024,0.6243911793538641,0.5469662983379106
How much fat does corn flour white contain?,"corn flour white contains: Calories: 414 kcal, Protein: 9.6g, Fat: 4.2g, Carbohydrates: 87.3g, Fiber: 7.3g, Calcium: 157.3mg","corn flour white contains: Calories: 414  calories, Protein: 9.6 grams, Fat: 4.2 grams, Carbohydrates: 87.3 grams, Fiber: 7.3 grams, Calcium: 157.3m grams",0.8664521543402541,0.6180150400624987,0.7458501792575396
Tell me about the macros in pistachio nuts raw,"pistachio nuts raw contains: Calories: 691 kcal, Protein: 24.9g, Fat: 55.8g, Carbohydrates: 33.8g, Fiber: 12.7g, Vitamin C: 6.9mg","pistachio nuts raw contains: Calories: 691 kcal, Protein: 24.",0.5876514403741375,0.5534275128787216,0.5612742258756717
What is the protein content of instant cappuccino powder?,"instant cappuccino powder contains: Calories: 53 kcal, Protein: 0.4g, Fat: 0.7g, Carbohydrates: 11.2g, Fiber: 0.2g, Calcium: 17.3mg","instant cappuccino powder contains: Calories: 53 kcal, Protein: 0.4g, Fat: 0.7g, Carbohydrates: 11.2g, Fiber: 0.2g, Calcium: 17.3mg",0.7990939348603426,0.7422955792356277,0.6663382461724898
What are the calories and macros for banana cream pie?,"banana cream pie contains: Calories: 3190 kcal, Protein: 52.2g, Fat: 161.3g, Carbohydrates: 390.2g, Fiber: 8.3g, Vitamin C: 19.0mg","banana cream pie has: Calories: 3190 kcal, Protein: 52.2g, Fat: 161.3g, Carbohydrates: 390.2g, Fiber: 8.3g, Vitamin C: 19.0mg",0.7196938035273459,0.6883312307517246,0.7150070750772803
What are the calories and macros for bartlett pear?,"bartlett pear contains: Calories: 112 kcal, Protein: 0.7g, Fat: 0.3g, Carbohydrates: 26.6g, Fiber: 5.5g, Vitamin C: 7.8mg","bartlett pear contains: Calories: 112 kcal, Protein: 0.7g, Fat: 0.3g, Carbohydrates: 26.6g, Fiber: 5.5g, Vitamin C: 7.8mg This is a good source of nutrition.",0.7656377757358656,0.5873646490629304,0.598986171723431
Give me the nutritional breakdown of pastrami beef fat free,"pastrami beef fat free contains: Calories: 9 kcal, Protein: 1.9g, Fat: 0.1g, Carbohydrates: 0.1g, Vitamin C: 3.3mg","pastrami beef fat free contains: Calories: 9  calories, Protein: 1.9 grams, Fat: 0.1 grams, Carbohydrates: 0.1 grams, Vitamin C: 3.3m grams",0.8018958198899462,0.8492540233950934,0.5327481225893099
How many calories are in beef broth soup?,"beef broth soup contains: Calories: 17 kcal, Protein: 2.7g, Fat: 0.5g, Carbohydrates: 0.01g, Calcium: 14.4mg","beef broth soup contains: Calories: 17 kcal, Protein: 2.",0.6786991909985933,0.781506450062349,0.531241088858976
What are the nutritional values for turkey and gravy?,"turkey and gravy contains: Calories: 161 kcal, Protein: 14.1g, Fat: 6.3g, Carbohydrates: 11.1g, Calcium: 33.6mg, Iron: 2.2mg","turkey and gravy contains: Calories: 161 kcal, Protein: 14.1g, Fat: 6.3g, Carbohydrates: 11.1g, Calcium: 33.6mg, Iron: 2.2mg",0.7256674889093899,0.5247032190226735,0.7190596994843725
How many calories are in eastern oyster raw?,"eastern oyster raw contains: Calories: 8 kcal, Protein: 0.7g, Fat: 0.2g, Carbohydrates: 0.8g, Iron: 0.8mg","eastern oyster raw has: Calories: 8 kcal, Protein: 0.7g, Fat: 0.2g, Carbohydrates: 0.8g, Iron: 0.8mg",0.7021948224370383,0.7290806696911458,0.5599409525529657
How many calories are in japanese cabbage?,"japanese cabbage contains: Calories: 45 kcal, Protein: 2.4g, Fat: 0.2g, Carbohydrates: 8.5g, Fiber: 4.7g, Vitamin C: 1.1mg","japanese cabbage contains: Calories: 45 kcal, Protein: 2.4g, Fat: 0.2g, Carbohydrates: 8.5g, Fiber: 4.7g, Vitamin C: 1.1mg This is a good source of nutrition.",0.6312470550968826,0.7081366164739148,0.5464960088738657
What are the nutritional values for t bone steak cooked?,"t bone steak cooked contains: Calories: 1049 kcal, Protein: 89.3g, Fat: 74.1g, Vitamin C: 2.4mg","t bone steak cooked contains: Calories: 1049  calories, Protein: 89.3 grams, Fat: 74.1 grams, Vitamin C: 2.4m grams",0.5821605942157446,0.733259071376407,0.5363766577806751
Is shark cooked high in protein?,"shark cooked contains: Calories: 65 kcal, Protein: 5.3g, Fat: 3.9g, Carbohydrates: 1.8g, Calcium: 14.2mg","shark cooked contains: Calories: 65 kcal, Protein: 5.",0.7041501416131338,0.8234768332708948,0.6813729200719127
Tell me about the macros in scallop imitation,"scallop imitation contains: Calories: 28 kcal, Protein: 3.6g, Fat: 0.1g, Carbohydrates: 3.0g","scallop imitation contains: Calories: 28 kcal, Protein: 3.6g, Fat: 0.1g, Carbohydrates: 3.0g",0.7052991372806566,0.6827193902847504,0.5230947123730099
What is the protein content of vienna bread toasted?,"vienna bread toasted contains: Calories: 93 kcal, Protein: 3.8g, Fat: 0.6g, Carbohydrates: 18.0g, Fiber: 0.9g, Calcium: 13.6mg","vienna bread toasted has: Calories: 93 kcal, Protein: 3.8g, Fat: 0.6g, Carbohydrates: 18.0g, Fiber: 0.9g, Calcium: 13.6mg",0.6849513222955694,0.822766141021757,0.7893120319300009
Give me the nutritional breakdown of oyster stew soup,"oyster stew soup contains: Calories: 118 kcal, Protein: 4.2g, Fat: 7.7g, Carbohydrates: 8.2g, Vitamin C: 6.4mg, Calcium: 44.3mg","oyster stew soup contains: Calories: 118 kcal, Protein: 4.2g, Fat: 7.7g, Carbohydrates: 8.2g, Vitamin C: 6.4mg, Calcium: 44.3mg This is a good source of nutrition.",0.658379483981303,0.8265812903732522,0.7983217931327262
Tell me about the macros in corn tamale,"corn tamale contains: Calories: 309 kcal, Protein: 5.8g, Fat: 12.0g, Carbohydrates: 44.3g, Fiber: 5.3g, Calcium: 39.8mg","corn tamale contains: Calories: 309  calories, Protein: 5.8 grams, Fat: 12.0 grams, Carbohydrates: 44.3 grams, Fiber: 5.3 grams, Calcium: 39.8m grams",0.7313245060236142,0.5181159210911315,0.6378115466248538
Tell me about the macros in corn chips barbecue,"corn chips barbecue contains: Calories: 1036 kcal, Protein: 13.9g, Fat: 64.7g, Carbohydrates: 111.3g, Fiber: 10.3g, Vitamin C: 3.4mg","corn chips barbecue contains: Calories: 1036 kcal, Protein: 13.",0.5255039648448333,0.8976494641907681,0.8738331195539786
How much fat does danish pastry with nuts contain?,"danish pastry with nuts contains: Calories: 280 kcal, Protein: 4.6g, Fat: 16.4g, Carbohydrates: 29.7g, Fiber: 1.3g, Vitamin C: 1.1mg","danish pastry with nuts contains: Calories: 280 kcal, Protein: 4.6g, Fat: 16.4g, Carbohydrates: 29.7g, Fiber: 1.3g, Vitamin C: 1.1mg",0.5276076584641255,0.8735102250339724,0.5126939484092317
Can you analyze lima beans canned nutritionally?,"lima beans canned contains: Calories: 190 kcal, Protein: 11.9g, Fat: 0.4g, Carbohydrates: 35.9g, Fiber: 11.6g, Calcium: 50.6mg","lima beans canned has: Calories: 190 kcal, Protein: 11.9g, Fat: 0.4g, Carbohydrates: 35.9g, Fiber: 11.6g, Calcium: 50.6mg",0.6635467743276993,0.8075888250333931,0.8063310731694847
Can you analyze palm kernel oil nutritionally?,"palm kernel oil contains: Calories: 40 kcal, Fat: 4.5g","palm kernel oil contains: Calories: 40 kcal, Fat: 4.5g This is a good source of nutrition.",0.8913333139696404,0.7583523272388655,0.6681447755529312
How much fat does ham raw contain?,"ham raw contains: Calories: 266 kcal, Protein: 23.8g, Fat: 18.2g, Carbohydrates: 0.046g, Iron: 1.2mg","ham raw contains: Calories: 266  calories, Protein: 23.8 grams, Fat: 18.2 grams, Carbohydrates: 0.046 grams, Iron: 1.2m grams",0.8971426394323516,0.6529918475405488,0.8478481141242834
What are the nutritional values for amaranth raw?,"amaranth raw contains: Calories: 37 kcal, Protein: 1.4g, Fat: 0.7g, Carbohydrates: 6.5g, Fiber: 0.7g, Calcium: 15.9mg","amaranth raw contains: Calories: 37 kcal, Protein: 1.",0.8627069246098291,0.650258213520795,0.7730921416406166
Give me the nutritional breakdown of poultry seasoning,"poultry seasoning contains: Calories: 14 kcal, Protein: 0.4g, Fat: 0.3g, Carbohydrates: 2.9g, Fiber: 0.5g, Calcium: 43.8mg","poultry seasoning contains: Calories: 14 kcal, Protein: 0.4g, Fat: 0.3g, Carbohydrates: 2.9g, Fiber: 0.5g, Calcium: 43.8mg",0.7647170152501872,0.7157201055675441,0.7614136393674809
What's the carb content in veal spleen cooked?,"veal spleen cooked contains: Calories: 445 kcal, Protein: 83.1g, Fat: 10.0g, Vitamin C: 138.0mg, Calcium: 24.2mg, Iron: 25.4mg","veal spleen cooked has: Calories: 445 kcal, Protein: 83.1g, Fat: 10.0g, Vitamin C: 138.0mg, Calcium: 24.2mg, Iron: 25.4mg",0.6391079548556601,0.5713894516016447,0.7149033945592005
Can you analyze peanuts chocolate coated nutritionally?,"peanuts chocolate coated contains: Calories: 21 kcal, Protein: 0.5g, Fat: 1.3g, Carbohydrates: 2.0g, Fiber: 0.2g","peanuts chocolate coated contains: Calories: 21 kcal, Protein: 0.5g, Fat: 1.3g, Carbohydrates: 2.0g, Fiber: 0.2g This is a good source of nutrition.",0.7115370158176038,0.7911432563624512,0.5890760863865065
